SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmcontrol_dmactive,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
2,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.havereset_skip_pwrup,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
3,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmstatus_allany_halted,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
4,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmstatus_allany_resumeack,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
5,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmstatus_allany_havereset,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
6,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.command_reg[17:0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
7,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.command_reg[22:20],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
8,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.command_reg[31:24],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
9,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmcontrol_ackhavereset,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
10,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmcontrol_ndmreset,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
11,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmcontrol_haltreq,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
12,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.dmcontrol_resumereq,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
13,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.data_0_reg[31:0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
14,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.abs_cmd_transfer_ff,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
15,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.debug_csr_valid,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
16,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.debug_csr_wr_en,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
